UserID,Gender,Age-group,AppVersion,FamilyID
f00f7025-9baa-371f-8ad7-13c28865f813,F,Above 60,2,NULL
b616364f-be23-3f55-9117-803b67b0dff6,M,Above 60,2,NULL
64ccf74f-0642-3a57-b26c-c32c65ad63ff,M,30-39,2,NULL
e6605129-eb53-33e1-9f05-ea178049fe3e,M,Above 60,2,F016
91d70987-29ac-38de-ba3f-fabf5bf91385,F,40-59,2,F008
ef790f3e-e8dc-343c-bbd1-0de238d3b07c,F,Above 60,2,F020
c6d9145b-4bb3-3975-b4cb-dcbcdec85038,M,40-59,2,F027
420b429c-c00d-35d9-9dcc-fde3fb1532bf,F,40-59,2,NULL
34409cb7-fcb5-3e79-9dbc-5ee83fa7716f,F,40-59,2,F027
536c88f1-2391-399d-bc2d-e4356ae52f07,M,Above 60,2,NULL
a9176161-d9f5-312d-a6f7-4d2ce4543506,M,Above 60,2,F015
f14cf7ba-232e-363c-b2ad-bbac88d42378,F,Above 60,2,NULL
1a5abff2-911a-3715-a639-fbbcb288b369,F,30-39,2,F009
4f29a91a-29d0-379a-9c53-cda793de2cc5,F,Above 60,2,NULL
821a26dc-972d-366d-be0b-014a85c7f38a,M,Above 60,2,NULL
3735055b-4bd0-3783-b1c1-1fd18b10a878,M,Above 60,2,NULL
0726f262-2010-30ca-ac8c-bfcf2941ff16,F,30-39,2,F020
15ddeca3-5817-3c7a-aa19-dfc72c545c3f,M,20-29,2,F030
e2da1faf-0e6a-3ddc-a186-fb3c6cdd9d54,F,40-59,2,NULL
7ff5a090-75a9-3e0f-8e94-45bac2c357b7,F,Above 60,2,NULL
2765249b-085f-3570-9a2c-058e6dc67ae5,M,Above 60,2,NULL
942fbb8e-5d63-3be6-81ec-8dfc67dcf716,F,15-19,2,NULL
9ec095a8-706f-3148-83da-97fc2d969f04,F,Above 60,2,NULL
782dc76c-1c08-3aad-8a2f-3b8f0ec6ecca,F,Below 15,2,NULL
8fa7a1e2-fad2-36db-9c36-426baabb2851,M,40-59,2,F012
4178a514-8b13-38ba-a646-27b9d06b270d,F,40-59,2,F012
233d62eb-4662-3739-acdd-2ea46afa6be4,F,Above 60,2,NULL
591cd1db-18f0-3e5a-939f-86c0d11baf4c,F,Above 60,2,NULL
46f9325b-f4e6-3f3d-8886-173515587a23,F,40-59,2,NULL
bd0c408c-1740-318a-b276-5fb5f1f23c7a,F,Above 60,2,NULL
863b124f-f46c-3bb3-8f89-2b784303239a,F,Above 60,2,NULL
cb0b76bd-4298-3001-87a8-050c7aa3f49b,M,Above 60,2,NULL
b49482f9-46b1-37f2-a649-b4b0dca53420,M,40-59,2,NULL
cd04ce1b-166a-3a1e-a22f-5842b7679c70,F,40-59,2,NULL
99fd9ef2-cdb6-3798-990c-003a8ec0a96a,M,Below 15,2,NULL
027b01d7-0dbf-378d-8051-89d7c6bb7573,F,40-59,2,F024
e358746a-0a00-360d-a414-24729d14235b,F,30-39,2,NULL
23c3071b-7ebe-36bc-a895-0883565d22fa,F,Above 60,2,F024
eecc8af1-8f48-3a5c-89b5-5f19d437b6b4,F,30-39,2,NULL
1168f98f-a25c-3124-944d-e934419320bb,M,40-59,2,F024
fe5b9eb0-348a-3a0c-9380-9142d839234a,F,30-39,2,NULL
29bf3b05-a58b-32b7-871f-e3ff2f7a4444,F,Below 15,2,NULL
